UUID,legislative_body,bill_number,status,status_date,title,description,legiscan_url,last_action
US-HB7,US,HB7,Introduced,2025-01-22,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2025,To prohibit taxpayer funded abortions.,https://legiscan.com/US/bill/HB7/2025,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB21,US,HB21,Held,2025-01-24,Born-Alive Abortion Survivors Protection Act,"To amend title 18, United States Code, to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion.",https://legiscan.com/US/bill/HB21/2025,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
US-HB22,US,HB22,Introduced,2025-01-03,SAVE Act Safeguard American Voter Eligibility Act,"To amend the National Voter Registration Act of 1993 to require proof of United States citizenship to register an individual to vote in elections for Federal office, and for other purposes.",https://legiscan.com/US/bill/HB22/2025,Referred to the House Committee on House Administration.
US-HB23,US,HB23,Held,2025-01-09,Illegitimate Court Counteraction Act,"To impose sanctions with respect to the International Criminal Court engaged in any effort to investigate, arrest, detain, or prosecute any protected person of the United States and its allies.",https://legiscan.com/US/bill/HB23/2025,Cloture on the motion to proceed to the measure not invoked in Senate by Yea-Nay Vote. 54 - 45. Record Vote Number: 22. (CR S410)
US-HB24,US,HB24,Introduced,2025-01-03,Federal Reserve Transparency Act of 2025,"To require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.",https://legiscan.com/US/bill/HB24/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB25,US,HB25,Introduced,2025-01-03,FairTax Act of 2025,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",https://legiscan.com/US/bill/HB25/2025,Referred to the House Committee on Ways and Means.
US-HB26,US,HB26,Held,2025-02-10,Protecting American Energy Production Act,To prohibit a moratorium on the use of hydraulic fracturing.,https://legiscan.com/US/bill/HB26/2025,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
US-HB27,US,HB27,Held,2025-02-10,HALT Fentanyl Act Halt All Lethal Trafficking of Fentanyl Act,"To amend the Controlled Substances Act with respect to the scheduling of fentanyl-related substances, and for other purposes.",https://legiscan.com/US/bill/HB27/2025,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
US-HB28,US,HB28,Held,2025-01-15,Protection of Women and Girls in Sports Act of 2025,"To amend the Education Amendments of 1972 to provide that for purposes of determining compliance with title IX of such Act in athletics, sex shall be recognized based solely on a person's reproductive biology and genetics at birth.",https://legiscan.com/US/bill/HB28/2025,Received in the Senate.
US-HB29,US,HB29,Held,2025-01-08,Laken Riley Act,"To require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",https://legiscan.com/US/bill/HB29/2025,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 10.
US-HB30,US,HB30,Held,2025-01-17,Preventing Violence Against Women by Illegal Aliens Act,To amend the Immigration and Nationality Act to provide that aliens who have been convicted of or who have committed sex offenses or domestic violence are inadmissible and deportable.,https://legiscan.com/US/bill/HB30/2025,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
US-HB31,US,HB31,Introduced,2025-01-03,POLICE Act of 2025 Protect Our Law enforcement with Immigration Control and Enforcement Act of 2025,"To make the assault of a law enforcement officer a deportable offense, and for other purposes.",https://legiscan.com/US/bill/HB31/2025,Referred to the House Committee on the Judiciary.
US-HB32,US,HB32,Introduced,2025-01-03,No Bailout for Sanctuary Cities Act,To provide that sanctuary jurisdictions that provide benefits to aliens who are present in the United States without lawful status under the immigration laws are ineligible for Federal funds intended to benefit such aliens.,https://legiscan.com/US/bill/HB32/2025,Referred to the House Committee on the Judiciary.
