legislative_body,bill_number,status,status_date,title,description
NY,A00043,Passed,2024-12-02,Requires a plain and conspicuous printed list of all ingredients listed in order of predominance on diapers sold in the state; imposes a civil penalty of one percent of the manufacturer's total annual in-state sales not to exceed one thousand dollars per package or box on the manufacturer.,Requires a plain and conspicuous printed list of all ingredients listed in order of predominance on diapers sold in the state; imposes a civil penalty of one percent of the manufacturer's total annual in-state sales not to exceed one thousand dollars per package or box on the manufacturer.
NY,A00068,Signed,2023-09-06,Directs the commissioner of education to issue guidance to school districts for developing programs to attract underrepresented candidates into the teaching profession and to identify funding available to school districts for such purposes.,Directs the commissioner of education to issue guidance to school districts for developing programs to attract underrepresented candidates into the teaching profession and to identify funding available to school districts for such purposes.
NY,A00117,Passed,2024-12-02,Adds additional factors to be considered by the department of health for applications for a license to operate a bank or storage facility.,Adds additional factors to be considered by the department of health for applications for a license to operate a bank or storage facility.
NY,A00119,Signed,2023-11-10,Relates to the issuance of a New York State Iraq War Commemorative Medal.,Relates to the issuance of a New York State Iraq War Commemorative Medal.
NY,A00121,Signed,2023-11-10,Relates to the issuance of a New York State Afghanistan War Commemorative Medal.,Relates to the issuance of a New York State Afghanistan War Commemorative Medal.
NY,A00150,Signed,2023-10-25,Increases age for use of ATVs by minors from age ten to fourteen.,Increases age for use of ATVs by minors from age ten to fourteen.
NY,A00219,Signed,2023-12-22,Relates to the licensure of athletic trainers; adds athletic trainers to the list of persons and officials required to report cases of suspected child abuse or maltreatment.,Relates to the licensure of athletic trainers; adds athletic trainers to the list of persons and officials required to report cases of suspected child abuse or maltreatment.
NY,A00222,Signed,2024-11-22,Relates to hearings regarding biennial maximum base rent adjustments.,Relates to hearings regarding biennial maximum base rent adjustments.
NY,A00237,Signed,2023-11-21,Relates to emergency response plans relating to the notification of location of downed wires from a municipal emergency official or individual.,Relates to emergency response plans relating to the notification of location of downed wires from a municipal emergency official or individual.
NY,A00266,Signed,2023-12-22,Requires state agencies to conform any of their websites to the most current version of the Web Content Accessibility Guidelines adopted by the World Wide Web Consortium for accessibility; requires the office of information technology services to provide a report to the governor and legislature every two years.,Requires state agencies to conform any of their websites to the most current version of the Web Content Accessibility Guidelines adopted by the World Wide Web Consortium for accessibility; requires the office of information technology services to provide a report to the governor and legislature every two years.
NY,A00286,Signed,2023-10-17,"Enacts the safe schools by design act; directs the use of design principles and strategies, pursuant to guidance issued by the commissioner of education, as part of a comprehensive approach to provide a safe, secure and healthy school environment.","Enacts the safe schools by design act; directs the use of design principles and strategies, pursuant to guidance issued by the commissioner of education, as part of a comprehensive approach to provide a safe, secure and healthy school environment."
NY,A00358,Signed,2023-11-21,"Requires the collection of certain demographic information about the sexual orientation and gender identity or expression of residents by certain state agencies, boards and commissions.","Requires the collection of certain demographic information about the sexual orientation and gender identity or expression of residents by certain state agencies, boards and commissions."
NY,A00362,Signed,2024-11-22,"Grants peace officer status to certain security officers employed by Rochester Regional Health or its subsidiaries, on or adjacent to the grounds, buildings or property owned, controlled, or administered by Rochester Regional Health.","Grants peace officer status to certain security officers employed by Rochester Regional Health or its subsidiaries, on or adjacent to the grounds, buildings or property owned, controlled, or administered by Rochester Regional Health."
NY,A00398,Signed,2023-09-14,Relates to notice of eligibility for unemployment benefits; requires an employer to provide a written notice of the right to file for unemployment benefits to any employee whose employment has been terminated or whose scheduled working hours have been reduced.,Relates to notice of eligibility for unemployment benefits; requires an employer to provide a written notice of the right to file for unemployment benefits to any employee whose employment has been terminated or whose scheduled working hours have been reduced.
NY,A00458,Signed,2023-11-17,Provides a deceased tenant's legal representative the option to terminate such tenant's lease upon notice to the landlord.,Provides a deceased tenant's legal representative the option to terminate such tenant's lease upon notice to the landlord.
NY,A00463,Signed,2023-12-22,Requires written notice of an adverse determination made by a utilization review agent in relation to a step therapy protocol override determination.,Requires written notice of an adverse determination made by a utilization review agent in relation to a step therapy protocol override determination.
NY,A00514,Signed,2023-09-07,Relates to expanding access to advanced courses to improve educational equity beginning with notification to parents and students on the benefits and opportunities offered as well as automatic enrollment opportunities.,Relates to expanding access to advanced courses to improve educational equity beginning with notification to parents and students on the benefits and opportunities offered as well as automatic enrollment opportunities.
NY,A00601,Signed,2023-03-03,"Relates to assessment of certain land parcels for the purposes of determining payments to eligible school, fire, fire protection, and ambulance districts; removes requirement that such assessments be approved by the commissioner of taxation and finance in the same manner as state lands.","Relates to assessment of certain land parcels for the purposes of determining payments to eligible school, fire, fire protection, and ambulance districts; removes requirement that such assessments be approved by the commissioner of taxation and finance in the same manner as state lands."
NY,A00602,Signed,2023-03-03,Relates to the percentage responsibility of the state for federally assisted projects; relates to the state share of municipal projects where the municipality funds a complete street design.,Relates to the percentage responsibility of the state for federally assisted projects; relates to the state share of municipal projects where the municipality funds a complete street design.
NY,A00607,Signed,2023-03-03,"Directs the department of agriculture and markets, in cooperation with NYSERDA, to produce and distribute guidance and educational materials for farmers on the use of agrivoltaics in farming no later than one year after chapter 629 of the laws of 2022 takes effect.","Directs the department of agriculture and markets, in cooperation with NYSERDA, to produce and distribute guidance and educational materials for farmers on the use of agrivoltaics in farming no later than one year after chapter 629 of the laws of 2022 takes effect."
NY,A00608,Signed,2023-03-03,Relates to pharmacists administering medications approved by the U.S. Food and Drug Administration.,Relates to pharmacists administering medications approved by the U.S. Food and Drug Administration.
NY,A00609,Signed,2023-03-03,"Clarifies that a plan for the delivery of medical supplies and medications to pharmacies, hospitals and nursing homes in affected areas during a state disaster emergency is required.","Clarifies that a plan for the delivery of medical supplies and medications to pharmacies, hospitals and nursing homes in affected areas during a state disaster emergency is required."
NY,A00610,Signed,2023-03-03,Prohibits agencies from charging a fee for records where an electronic copy is already available from a previous request made within the past six months except for the actual cost of a storage device or media if provided to the requester.,Prohibits agencies from charging a fee for records where an electronic copy is already available from a previous request made within the past six months except for the actual cost of a storage device or media if provided to the requester.
NY,A00611,Signed,2023-03-03,"Requires the commissioner of general services to maintain a list of all state boards; requires each state board to maintain a publicly accessible website; requires each website associated with a state board to include certain information about such state board; changes the effectiveness of chapter 219 to November 1, 2013.","Requires the commissioner of general services to maintain a list of all state boards; requires each state board to maintain a publicly accessible website; requires each website associated with a state board to include certain information about such state board; changes the effectiveness of chapter 219 to November 1, 2013."
NY,A00613,Signed,2023-03-03,Requires the commissioner of the office of mental health to provide monthly status reports of the community investments and the impact on inpatient census to the chair of the senate finance committee and the chair of the assembly ways and means committee and to post such report on the office's website.,Requires the commissioner of the office of mental health to provide monthly status reports of the community investments and the impact on inpatient census to the chair of the senate finance committee and the chair of the assembly ways and means committee and to post such report on the office's website.
NY,A00614,Signed,2023-03-03,Clarifies that registration in the donate life registry takes effect when entry of the individual's enrollment data is made into the registry.,Clarifies that registration in the donate life registry takes effect when entry of the individual's enrollment data is made into the registry.
NY,A00615,Signed,2023-03-03,Clarifies the provisions relating to the establishment and priorities of the New York state council on hunger and food policy.,Clarifies the provisions relating to the establishment and priorities of the New York state council on hunger and food policy.
NY,A00616,Signed,2023-03-03,Relates to the effectiveness of certain curriculum requirements related to human trafficking awareness to be included in alcohol training awareness programs.,Relates to the effectiveness of certain curriculum requirements related to human trafficking awareness to be included in alcohol training awareness programs.
NY,A00617,Signed,2023-03-03,Creates a natural fiber textile development workgroup to study and identify methods of advancing the animal and plant based textile industry in this state.,Creates a natural fiber textile development workgroup to study and identify methods of advancing the animal and plant based textile industry in this state.
NY,A00618,Signed,2023-03-03,"Authorizes public requests for information from any county, city, town, or village desiring to have a memorial located within their municipality listed within the veterans memorial registry; directs the department of veterans' services to establish a veterans memorial registry.","Authorizes public requests for information from any county, city, town, or village desiring to have a memorial located within their municipality listed within the veterans memorial registry; directs the department of veterans' services to establish a veterans memorial registry."
NY,A00619,Signed,2023-03-03,"Provides that no person shall sell or offer for sale any cosmetic product or personal care product containing mercury, other than in trace amounts allowed by the food and drug administration as unavoidable under conditions of good manufacturing practice or necessary for use as a preservative in the absence of an effective and safe nonmercurial preservative substitute.","Provides that no person shall sell or offer for sale any cosmetic product or personal care product containing mercury, other than in trace amounts allowed by the food and drug administration as unavoidable under conditions of good manufacturing practice or necessary for use as a preservative in the absence of an effective and safe nonmercurial preservative substitute."
NY,A00622,Signed,2023-03-03,Exempts certain projects from requirements for providing EV charging capability and from certain labor law provisions for public projects.,Exempts certain projects from requirements for providing EV charging capability and from certain labor law provisions for public projects.
NY,A00624,Signed,2023-03-03,Relates to the oversight of certain contracts by the comptroller; provides for the oversight of contracts by the comptroller based upon the dollar amounts of such contracts.,Relates to the oversight of certain contracts by the comptroller; provides for the oversight of contracts by the comptroller based upon the dollar amounts of such contracts.
NY,A00625,Signed,2023-03-03,Exempts hot tubs or spas with safety covers from certain standards of the New York state uniform fire prevention and building code.,Exempts hot tubs or spas with safety covers from certain standards of the New York state uniform fire prevention and building code.
NY,A00626,Signed,2023-03-03,"Relates to standards for the construction of all new buildings and for the construction or renovation of existing buildings that undergo a substantial improvement and which are located wholly or partially in an area designated on the applicable Federal Emergency Management Agency (""FEMA"") flood insurance rate map, as amended from time to time, as a Special Flood Hazard Area or Moderate Risk Flood Hazard Area.","Relates to standards for the construction of all new buildings and for the construction or renovation of existing buildings that undergo a substantial improvement and which are located wholly or partially in an area designated on the applicable Federal Emergency Management Agency (""FEMA"") flood insurance rate map, as amended from time to time, as a Special Flood Hazard Area or Moderate Risk Flood Hazard Area."
NY,A00627,Signed,2023-03-03,Requires nursing homes to follow Federal CDC or medicare and medicaid guidance relating to infectious disease control planning and procedures.,Requires nursing homes to follow Federal CDC or medicare and medicaid guidance relating to infectious disease control planning and procedures.
NY,A00630,Signed,2023-03-03,Limits the calculation of increases in income limiting eligibility under the program for elderly pharmaceutical insurance coverage to one subsequent calendar year.,Limits the calculation of increases in income limiting eligibility under the program for elderly pharmaceutical insurance coverage to one subsequent calendar year.
NY,A00631,Signed,2023-03-03,"Requires residential leases to include information on prior flood damage due to a natural flood event, such as heavy rainfall, coastal storm surge, tidal inundation, or river overflow, that the lessor knows or reasonable should know has occurred to such premises and the nature of any such damage.","Requires residential leases to include information on prior flood damage due to a natural flood event, such as heavy rainfall, coastal storm surge, tidal inundation, or river overflow, that the lessor knows or reasonable should know has occurred to such premises and the nature of any such damage."
NY,A00632,Signed,2023-03-03,Relates to mandatory training of a forensic evaluator in relation to court ordered forensic evaluations involving child custody and visitation when the child is living out-of-state and is farther than one hundred miles from the New York state border; relates to training in the prevention and intervention of domestic violence required for forensic investigators.,Relates to mandatory training of a forensic evaluator in relation to court ordered forensic evaluations involving child custody and visitation when the child is living out-of-state and is farther than one hundred miles from the New York state border; relates to training in the prevention and intervention of domestic violence required for forensic investigators.
NY,A00703,Signed,2023-09-20,Relates to requiring certain notices prior to changes in energy service pricing.,Relates to requiring certain notices prior to changes in energy service pricing.
NY,A00783,Signed,2023-12-08,"Relates to establishing an urban deer management pilot program; authorizes the department of environmental conservation, after a review of the site-specific deer management plan, and upon a finding that deer have become a nuisance, destructive to public or private property or a threat to public health or welfare, to issue a certified nuisance wildlife specialist a deer cull permit; defines terms.","Relates to establishing an urban deer management pilot program; authorizes the department of environmental conservation, after a review of the site-specific deer management plan, and upon a finding that deer have become a nuisance, destructive to public or private property or a threat to public health or welfare, to issue a certified nuisance wildlife specialist a deer cull permit; defines terms."
NY,A00793,Signed,2023-12-22,Requires the office of mental health to establish a training program for the diagnosis and treatment of post-traumatic stress disorder for military veterans; the program shall include a component on military culture competency and shall be intended for the training of mental health providers and mental health clinicians; certification of the completion of the program may be provided to participants through the office.,Requires the office of mental health to establish a training program for the diagnosis and treatment of post-traumatic stress disorder for military veterans; the program shall include a component on military culture competency and shall be intended for the training of mental health providers and mental health clinicians; certification of the completion of the program may be provided to participants through the office.
NY,A00836,Signed,2023-09-14,"Prohibits an employer from requesting or requiring that an employee or applicant for employment disclose any user name, password, or other means for accessing a personal account or service through specified electronic communications devices.","Prohibits an employer from requesting or requiring that an employee or applicant for employment disclose any user name, password, or other means for accessing a personal account or service through specified electronic communications devices."
NY,A00966,Signed,2023-03-03,Relates to information available for inspection during certain special proceedings by certain tenants for judgment directing deposit of rents that are in the possession of the department charged with the enforcement of the housing maintenance code of the municipality; relates to the effectiveness of such provisions.,Relates to information available for inspection during certain special proceedings by certain tenants for judgment directing deposit of rents that are in the possession of the department charged with the enforcement of the housing maintenance code of the municipality; relates to the effectiveness of such provisions.
