,SDG,Sub-SDG,Indicator,Proxy Indicators,DC Total,DC Source,DC Source URL,VA Total,VA Source,VA Source URL,MD Total,MD Source,MD Source URL,DC source domain,VA source domain,MD source domain,Shared source?
0,Goal 1: End Poverty,,,,,,,,,,,,,,,,0
1,Goal 1: End Poverty,1.x Supplemental Summary Data,,Ward population estimates (2013-2017),672391,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,,,,,,,planning.dc.gov,,,0
2,Goal 1: End Poverty,1.x Supplemental Summary Data,,Ward population estimates by Hispanic or Latino and Race (2013-2017),,,,,,,,,,,,,0
3,Goal 1: End Poverty,1.x Supplemental Summary Data,,          White alone,241901,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,5717617,2012 American Community Survey,"https://data.census.gov/cedsci/table?q=DP05&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP05&moe=false&hidePreview=true",3062363,American Community Survey 2019 5-Year Estimates,"https://data.census.gov/cedsci/table?q=median%20income&g=0400000US24,24.050000&tid=ACSST5Y2019.S1901&hidePreview=true&moe=false",planning.dc.gov,data.census.gov,data.census.gov,1
4,Goal 1: End Poverty,1.x Supplemental Summary Data,,          Black or African American alone,315159,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,1621592,2013 American Community Survey,"https://data.census.gov/cedsci/table?q=DP05&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP05&moe=false&hidePreview=true",1768596,American Community Survey 2019 5-Year Estimates,"https://data.census.gov/cedsci/table?q=median%20income&g=0400000US24,24.050000&tid=ACSST5Y2019.S1901&hidePreview=true&moe=false",planning.dc.gov,data.census.gov,data.census.gov,1
5,Goal 1: End Poverty,1.x Supplemental Summary Data,,          American Indian or Alaskan Native alone,1140,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,23873,2014 American Community Survey,"https://data.census.gov/cedsci/table?q=DP05&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP05&moe=false&hidePreview=true",12002,American Community Survey 2019 5-Year Estimates,"https://data.census.gov/cedsci/table?q=median%20income&g=0400000US24,24.050000&tid=ACSST5Y2019.S1901&hidePreview=true&moe=false",planning.dc.gov,data.census.gov,data.census.gov,1
6,Goal 1: End Poverty,1.x Supplemental Summary Data,,          Asian alone,25063,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,,,,,,,planning.dc.gov,,,0
7,Goal 1: End Poverty,1.x Supplemental Summary Data,,          Native Hawiian or Other Pacific Islander alone,241,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,6179,2016 American Community Survey,"https://data.census.gov/cedsci/table?q=DP05&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP05&moe=false&hidePreview=true",,,,planning.dc.gov,data.census.gov,,0
8,Goal 1: End Poverty,1.x Supplemental Summary Data,,          Hispanic or Latino (of any race),71829,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,792001,2017 American Community Survey,"https://data.census.gov/cedsci/table?q=DP05&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP05&moe=false&hidePreview=true",606482,American Community Survey 2019 5-Year Estimates,"https://data.census.gov/cedsci/table?q=median%20income&g=0400000US24,24.050000&tid=ACSST5Y2019.S1901&hidePreview=true&moe=false",planning.dc.gov,data.census.gov,data.census.gov,1
9,Goal 1: End Poverty,1.x Supplemental Summary Data,,         Some other race alone,2194,2013 - 2017 ACS 5-Year Ward,https://planning.dc.gov/node/1128597,260425,2018 American Community Survey,"https://data.census.gov/cedsci/table?q=poverty&g=0400000US51_0500000US51003,51007,51011,51013,51019,51025,51029,51031,51033,51037,51041,51043,51047,51049,51057,51059,51061,51065,51067,51069,51073,51075,51079,51083,51085,51087,51089,51095,51097,51099,51101,51103,51107,51109,51111,51113,51115,51117,51119,51125,51127,51133,51135,51137,51143,51145,51147,51153,51157,51159,51177,51179,51193,51510,51540,51590,51610,51630,51683,51685,51840&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=true",19325,American Community Survey 2019 5-Year Estimates,"https://data.census.gov/cedsci/table?q=median%20income&g=0400000US24,24.050000&tid=ACSST5Y2019.S1901&hidePreview=true&moe=false",planning.dc.gov,data.census.gov,data.census.gov,1
